id,indivfinfeel,immfeel
2039,Better than last few years,We need qualified immigrants
2040,Getting better,Good thing
2041,"fairly decent, coping, able to remain stable",
2042,"Retired on an income which doesn't change and bills for electricity, water/sewer, heat, car & house insurance continue to creep up yearly. At some point it will be a hardship. Living in a rural community where house prices are static and buyers are few it is cheaper to be in my home than sell and go elsewhere as elsewhere would be more expensive.","Unless we identify as having First Nations heritage, then we are all immigrants to Canada.

 We are supposed to be the melting pot where everyone gets along. The new immigrants are doing a better job of that than those of us with British heritage and all our we know better than you do how to get along.....not!"
2043,I'm on disability and what I'm given each month is nowhere near enough to live on properly.,I have no feelings either way.
2044,,
2045,Worried about rent increases. Living on pension.,Bring them in. Immigrants enrich us all.
2046,"It's okay but we are currently living from pay check to pay check, no savings at all",It's a big help to a lot of people but the Government should be more careful in taking people in.
2047,,
2048,Difficult to make ends meet,I feel that the rules to immigrate should be the same for all.  That as a country we need stricter rules to ensure the safety of our country.  That those who choose to come to live here need to learn to speak/read the English language and live by Canadian laws.  Laws should not be changed to accommodate those who immigrate here
2049,,
2050,,
2051,I would like to have money at the end of the month to put away in case I need it.,I have applied for numerous jobs but haven't been chosen due the fact that I am not an immigrant
2052,very bad,stop it
2053,na,na
2054,"I am coping, but the government literally wipes people out with the super high taxes they charge, it is completely ridiculous",I feel that immigration has a positive impact overall in general as it brings more talent into the country. But I do not agree with immigrants then going on welfare and not working mooching off of everyone in the work force
2055,Poor,Should be less immigration take care of Canadian first
2056,It's okay,I don't like that we allow so many immigrants in the country
2057,I am comfortable but could use more financially,I think immigration can be a good thing
2058,I do not agree with some things I have to pay for but my financial situation is okay. I just hope things can be easier for people that are ill,More fair than other countries for sure.
2059,Comfortable thanks to my good education to fall back on whatever happens,I believe we should increase skilled immigrants
2060,"Not bad, but could definitely be better.",I support it.
2061,Getting better,I feel immigrants come to our country with their culture and beliefs and we have to conform to their culture/religions but we could never have our own freedoms moving to their country
2062,Stressed,Letting too many in should be caring for our homeless and veterans before immigrants
2063,,
2064,Not too bad.,Necessary
2065,Not good.,Too many people coming into the country. It's a problem.
2066,,
2067,,
2068,,
2069,I find the bills such as Hydro really hurt and even though I am on a pension I still have to pay additional taxes at year end.,I believe people should be free to come to this country if they can work and pay their own way.
2070,"it is a struggle, no treats, purchase my clothes, household items from the Salvation Army and church rummage sales. Eat out impossible","Requirements are not strict enough. Ability to speak either French or preferably English. Good health, no criminal record and most assuredly not kept by our taxes look at the crime rate"
2071,Not good,Canadians should come first
2072,it could be better,it adds to the richness of the country
2073,,
2074,I am only making ends meet.,Immigrants should undergo more thorough screening before admission to Canada.
2075,,
2076,,
2077,,
2078,I feel good about it,I think it was too much too fast
2079,,
2080,can't keep up with rising prices of everything. Prices go up and fixed income stays the same,too easy
2081,feels as if our hard work has been squandered for nothing,"All of us are from other countries - we need to accept immigrants as our families were accepted, aboriginals came over the Bering Sea, most of the rest of us came over the Atlantic."
2082,"I am disabled and on a pension, rents are so very high my budget only allows for 475 for rent, there are no 1 bedrooms in 475 price range, and long waiting list, my cost of living budget is even not enough",no vacancy
2083,"stayed the same, going to worse",for while supposed be stop
2084,Getting by,Everyone here was an immigrant at some time in history
2085,always trying to make it through the month,"word "" terrorist "" comes into my mind immediately"
2086,Not too bad but husband and I have just graduated from school.,Immigration is a good thing. However Justin is not properly screening everyone. Also refugees took up all the hotel rooms in Toronto leaving our homeless citizens on the streets in the cold where they can usually have shelter during the cold months when the shelters are too full.
2087,Struggling with little to no money.,The immigrants should adapt to our ways and not change it.
2088,Good makeup,"I like it, it lets others have a home away from home."
2089,,
2090,,
2091,Not very confident,
2092,I AM QUITE COMFORTABLE IN MY LIFE RIGHT NOW,"WE NEED TO SLOW DOWN ON LETTING PEOPLE INTO CANADA, WE NEED TO LOOK AFTER OUR OWN UNEMPLOYED AND HOMELESS."
2093,,
2094,not great,
2095,Sad,Excellent
2096,Struggling,
2097,"I have a full time job, however it does not pay a lot and makes it harder to pay bills.",I feel that they are taking jobs and other rights away from us that we would have had in the past.  As Canadians we miss out on other opportunities to be fair.
2098,My personal financial situation is hard because I am a full time student. Unemployed.,"Awesome because my parents are immigrants, my boyfriend's parents are immigrants. Not all immigrants are a certain racial minority. Even Europeans are immigrants."
2099,I need to win the lottery!,It needs to stop.
2100,,
2101,Struggling.,Not needed.
2102,,
2103,,
2104,paycheck to paycheck,only immigrants who will work and take advantage of the welfare and health system
2105,Barely surviving,"People who work are good, not people who sit on disability and take money and housing and healthcare away from Canadian citizens. The hospitals are overcrowded, social housing waiting lists are long, and there are a lot of people with a low level of moral development taking advantage of the Canadian government and tax paying citizens"
2106,I live pay cheque to pay cheque as a mom of two. It's hard to make ends meet when I have to work to survive and pay for child care to be able to do so.,I think we as Canadians should have focused on our veterans and our homeless instead of giving that money and housing to refugees that show no respect for our Canadian culture.
2107,have savings,
2108,Okay,Good but need to screen criminals
2109,"Terrible, because of the dog. All the time just does what he wants.",People should not live in large cities. More than half of the foods are not good for eating. Everybody should grow their own food.
2110,,
2111,"Could be better. Comfortable, worry free financial situation is what most people want",stop letting them in...take care of our own first. They will not bail us out when we are tapped out from rescuing them.
2112,,
2113,,
2114,I am fine but could be better.,I feel great. It's an opportunity for those who cannot live in their country for various reasons.
2115,,
2116,,
2117,Secure,I think immigration is important to Canada
2118,Not the best but getting better.,It's a great way to bring new talent to the country and reunite families.
2119,retired but had to go back to work to make ends meet,should be controlled more
2120,my personal financial situation would improve under a PC government,"I'm in favour of filtered immigration, not allowing everyone in regardless of where they come from, e.g. refugees from the US…There is no such thing and should be stopped immediately 

! ! !"
2121,n/a,n/a
2122,,
2123,Fine,
2124,I am scared of the future and how I will survive as I get older,I agree on helping others in need. However the government also must remember the folks in need that are Canadian born.
2125,,
2126,"Could be better, could be worse.","Since I'm an immigrant myself, I'd have to be pretty damned dense to have a negative opinion on it."
2127,I retired on a disability pension in 1992 and my income goes down each year. My husband retired and gets less than $400 from CP. We are living but not advancing.,Immigration is good. It's when they come in as refugees are given so much.
2128,It's good for now but we're hard workers and save for our retirement without expecting handouts from the government,I feel as if we should be taking care of our own first.
2129,The immigration process is a complete embarrassment to an otherwise great country. It has made living here (as an immigrant) very difficult.,"Although the system is broken, immigration is important to not only the economy but also to cultural awareness."
2130,none,none
2131,Terrible,Immigration is great for the Canadian economy. Almost all the jobs that immigrants take most Canadians do you not want. However their education should be recognized in Canada.
2132,,
2133,Cost of living is high and I literally live paycheck to paycheck just to stay afloat,Not a fan of it
2134,Satisfied...no problem,Helps our economy
2135,"With minimum wage going up, and my wages staying the same, it's overwhelming",I think we need to be very careful with immigration
2136,Satisfied,It should be monitored very carefully
2137,So unpredictable,Very pleasant
2138,,
2139,,
2140,Stressed,Fine
2141,"It sucks, all income goes to bills, mortgage and daycare",Unsure
2142,My financial situation right now is getting a bit better.,They doing the right law which is good for Canadian citizens.
2143,Not great about $450 short every month.,"Good for Canada but some of them are being offered cash job taking away Canadian citizen. This so they don't have to pay minimum wage of $14. 

Immigrants are being paid $2-less than $10 for blue collar jobs with no rights then threats to send back to their country."
2144,sad,"Sucks. Eventually in time white people will be extinct. There will be no more. It will be all mixed raced and everyone fighting everyone, will be a war in Canada and I will be the one over here saying I told you so. When will people learn to STOP messing with our values, morals, traditions, nation anthem and worrying about what everyone else might get upset over, I'm tired of living in a country where everyone else is above us Canadians and get a better chance at our life than our own, I'm embarrassed to be an Ontarian at the fact that we kill innocent dogs bases on a breed, which is breed racist to animals but do you care about that? Its time Ontario looked and re evaluated the Pitt bull ban, the statistics show that the attacks have risen and are we Canadians/Ontarian really dog murders?"
2145,It leaves a lot to be desired.,Canada is doing a good job.
2146,Eking by.,"As long as we can maintain our stance on multiculturalism, it will be fine."
2147,It sucks,
2148,We do not go without but we do not have a great deal of savings,I encourage policies to keep an eye on criminals but welcome immigrants and appreciate those willing to work at jobs that quite often Canadians don't want
2149,Recovering after major setback due to unemployment,"We must remain a haven for refugees, but not offer refugees more benefits than the average Canadian taxpayer"
2150,"I feel pretty good, would like to have more money to feel secure",I feel great about immigration.
2151,,"I think immigration is a benefit to Canada. However, people should enter Canada legally, through the immigration system. Not just cross the border without proper process and checks. It isn't fair to Canadian tax payers and it isn't fair to those waiting to immigrate to Canada who are following the process."
2152,Desperate,Slow
2153,Living paycheque to paycheque,
2154,,
2155,I get by,Tighten up a little
2156,,
2157,,
2158,tight,
2159,,
2160,troubled,take care of our own before the others
2161,It's a struggle to survive if you aren't wealthy,"We need to help others always, but we also need to help ourselves first to be in a position to help others. Why are so many Canadians struggling to live but we set up others to live better?"
2162,I'm doing okay. I live fairly well and can afford a vacation each year.,We should continue to allow people in but they should be screened
2163,Nope,It is useful and good
2164,"I am ok, but I worry about others","it is a good, necessary thing"
2165,,
2166,Good for the moment,Should be stop
2167,,
2168,"Rent nowadays is completely over the top expensive. Low income families can't afford it. Paying extra for hydro doesn't help, especially with the fee to get it to your residence. Rent & hydro needs to be cut in half.",IT SHOULD STOP!!! BORN HERE CANADIANS ARE GETTING SHIT ON LEFT RIGHT AND CENTER. WE CAN'T EVEN AFFORD TO LIVE IN OUR OWN COUNTRY BECAUSE THESE NEW FUCKERS GET EVERYTHING FOR FREE!!
2169,,
2170,scared,it's nice to be welcoming but we've gone way overboard
2171,I am a single mom and just getting by,I love that Canada embraces the many cultures around the world and provides a safe place for them to live while screening them to the max.
2172,"It's tough. We've had to go to one income because I had a baby and cannot afford day care and even if we could, there is no where available. So our debts are based on a two income household yet we can only bring in one income. Super hard and it can only get worse",
2173,,
2174,Ok,Immigrants should not complain but appreciate they are here
2175,I feel stuck. Only have enough to pay the bills,Immigration in Canada is fair. Opportunities for all
2176,Hopeless,Bringing new workers to Canada helps everyone. I love the diversity in Canada's work force and culture
2177,,
2178,Lucky I have a good job. Comfortable,Makes Canada a more rounded country
2179,comfortable,it is unnecessary - give the support to Canadians
2180,,
2181,I am disabled due to a stroke and currently receive ODSP which barely carries me through month to month.,"As long as the immigrant and his/her family contribute to the Canadian economy in a positive way I am more than welcoming.  I know that some people arrive in Canada and end up on government aid/welfare, but truly, how do you screen beforehand?"
2182,Getting pretty bad,Need better screening
2183,I am happy with my situation,We need it to keep our economy going.
2184,,
2185,I feel like I will never get ahead,"Feel like immigration is ok, but I don't think Canadian government should fund it."
2186,Could be better,"Keep the criminals out. 

Deport them"
2187,,
2188,,
2189,terrible,unsure
2190,STABLE,IT IS A POSITIVE THING
2191,Wish it was better,Too many are being brought in
2192,It's manageable,Good
2193,none,none
2194,"It is good - I am able to live comfortably, take vacations and save for retirement.","I am fine with it, as long as it doesn't take jobs away from Canadians."
2195,no comment,"I support immigration to Canada, however the government needs to also place more emphasis helping families already in the country."
2196,,
2197,scared. Never knowing what's going to happen next.,be more observant
2198,Comfortably ok,"Happy, hopefully those who come to Canada will use it to advance themselves and their families, which will promote our economy as a whole."
2199,I feel ok,"It is well managed, the laws are well done and diversity is awesome"
2200,not good,
2201,It could be better if we get paid for fairly.,"Overall, it has its strengths and drawbacks equally."
2202,,
2203,Very good because I work for the federal government. Glad I do not work for the provincial government.,I believe immigration is good for Canada however needs to have strict restrictions.
2204,Not satisfied due to higher taxes and insurance rates,I feel they have more rights and privileges than Canadians
2205,horrible,nothing
2206,Being retired I am comfortable with my savings and pension,I feel they are not vetted properly. I feel they do not make the effort to fit into the community and expect Canadians to accept them the way they are. They feel their religious beliefs take precedent over assimilating with their neighbours
2207,hopeless,no feeling
2208,Could be better,No comment
2209,Minimum wage went up and so did the cost of everything. Hydro is horrible,I have nothing against foreigners but they are trying to change out country. If they cant deal with us and our way of life go back to where you came from
2210,okay but should be earning better,"immigrants are not taking away jobs, people coming on visas are taking jobs away. we need to stop caring about hurting peoples feelings and have criminals that are not Canadian citizens deported. not invite past ISIS members on trips with Trudeau and still pay them"
2211,,
2212,meh,idk
2213,"living comfortably only because I live at home with parents and don't pay for housing, utilities, or phone. If I lived independently I'd be struggling",It's good thing for the economy and no human is illegal
2214,,
2215,,
2216,,
2217,Stressed,It's fair
2218,"I'm managing in a part time minimum wage job for now, but it can't support me forever.","I'm all for immigration for good people in moderation (i.e. not accepting more immigrants than our services, housing can support)"
2219,,
2220,,
2221,doing ok but dislike gas prices,limit the amount coming in and don't let them take over our ways
2222,it has gotten better since the minimum wage has gone up but it is still a struggle financially,no comment
2223,,
2224,,
2225,,
2226,Low income,It helps a lot
2227,Good.,I agree with the current policy and believe in the importance of immigration.
2228,"I'll never feel rich, but on the other hand I will never be poor. I have to plan ahead for big purchases, then I can make them.","I feel that we should regulate it more, and not be in such a hurry to take in the numbers that we do."
2229,I live paycheck to paycheck.  If it wasn't for food banks I would not be able to eat.,I am ok with it
2230,I am disabled and living on federal disability which provides less income than provincial disability without benefits. I sometimes go without my medications simply because I can't afford them. That creates further health issues. A national or provincial pharma care program is the answer as is ensuring that nobody lives so far beneath the poverty line that they can't afford basic necessities.,"Immigration benefits us all. There is beauty in diversity and immigrants who are educated are helping with doctor, nurse and skilled trade shortages!"
2231,Comfortable but need to be careful,We can afford to allow immigrants the same social benefits that long-term Canadians have been paying for their whole life
2232,,
2233,,
2234,scared,too high
2235,"I was forced out of my job by the WS&IB at the age of 45. I was then cut off of all my income and my WS&IB claim for 5 years. I had to sell everything of value I had, just to survive. I was then put on such a small pension I couldn't afford to live alone. I found a friend in the same position as I was and living together, like it or not, we can just get by. As an injured worker I shouldn't be forced into an arms length relationship I didn't want, just to be able to live modestly. WS&IB should not have the power to say if I work or not, I just missed a huge promotion because of the board!",We seem to have an open door policy under Trudeau. We are letting in far too many people who have no intention of becoming Canadian! Only those who know the language and will live throughout Canada as a Canadian should be allowed in the country and those that refuse should never be allowed to have a Canadian passport nor should they be able to own property in Canada.
2236,We are getting by but must remain frugal with everything we consider purchasing.,This country was made on immigrants. My family immigrated from Europe in the 50's. However things have changed and I don't think that people immigrating now are being assessed properly regarding their background history. More has to be done to thoroughly check into each and everyone wanting to become a true Canadian.
2237,should have started investing at a much younger age,"no problem with immigration, however they do take money out of health care services for Ontario residents"
2238,"I am ok with it right now, I make good money.",I feel that we can do a better job with screening immigrants and I think it's not helping our economy
2239,I feel I am on track for a comfortable retirement.,I feel we should take care of our own people before we start dishing out money to people from other countries.
2240,Terrified. We are retired and living on pension with no savings.,Immigration should be lessened as there are not enough jobs for Canadians
2241,ok,really don't know
2242,"We can pay for what we have, but I would like more.  Also if something happens (illness, injury) we would be in trouble",People who want to come to Canada for whatever reason generally have positive impact
2243,horrible,poor
2244,Struggling as a senior to meet financial obligations to stay in my home.,Should be more investigation into immigrants allowed into Canada to make sure they will be contributing members of our society and that they are not dangerous.
2245,Stinks,Make sure immigrants have gone through proper investigation to weed out the people who do not like our political situation and want to replace it with their religious values.
2246,It is okay but I wish the economy would be better. We need to stop supporting welfare and get people to work.,"They are willing to work jobs that Canadians feel are below them. If they are true immigrants I welcome them but not at everyone's expense, be fair to them but we have many living in poverty in our country as well."
2247,We are struggling because of the outrageous cost of daycare!,"Immigration and crime has increased since Justin Trudeau came into office. Opening the borders to immigrants has posed a great risk on Canada's safety and has made our wait times to see a doctor much  longer, burdened our welfare system and put great risk financially to future generations."
2248,,
2249,Worried about future. Will have to sell my home.,I agree with bringing refugees in due to conflicts in their country.
2250,struggling,scary
2251,,
2252,,
2253,doing good,"don't let them just walk into and get benefits medical, housing, attorneys + anything else they say they require."
2254,"I could be better but the constant increasing in taxes, food, gas and general services plus the increasing cost of home maintenance is taking its toll. It is time to get the governments both provincial and federal to get their heads out of their asses and start looking after the people who made this country what it is today. Stop being bullying around by special interest groups and do gooders.",If you cannot look after yourself you should not try to look after others. Immigration is a good thing for Canada but I am concerned that we are going way overboard and trying to take on more than we can handle. Opening the flood gates will backfire one way or another!!!
2255,okay,none
2256,,
2257,poor due to very little increase in pension,it is a good thing as long they apply through the proper channels
2258,,
2259,I am comfortable with current situation,Immigration is net-positive for Canada
2260,,
2261,Struggling to make ends meet,They are taking the jobs of Canadians
2262,,
2263,economic numbers presented every month are not an accurate picture of the health of the economy. Stock market volatility is indicative of day trading and not a good predictor or accurate reflection of the true economy.,"Should be rigorous screening for real versus fraudulent immigrants claiming status as Canadians. Health, language, and education achievement should be priority for those looking for Canadian status. They must learn English."
2264,"I am comfortable with my current financial situation because I created my own savings plan. If taxes increase, I would have to reassess my situation.",It is necessary for Canada to remain competitive and innovative on the international scene.
2265,IT COULD BE BETTER.,IT'S A GOOD THING IF IT'S WELL MONITORED & CASES ARE PROCESSED RAPIDLY. WAITING 2 OR 3 YEARS IS NOT ACCEPTABLE
2266,I am hanging on,we should keep tight polices on them
2267,,
2268,,
2269,It would be nice not to have to penny pinch,Being an immigrant myself in 1957 we made it on our own! Without government assistance.
2270,,
2271,"I had to retire earlier than expected. I planned to work until age 67 so all my debts were paid, but health would not allow, so I'm still paying debts with very constrained income.","Canada as a nation was formed through immigration. The Indigenous people were here, but others coming made a sea to sea to sea country. Immigrants bring new talents and beliefs."
2272,Being on ODSP and only being able to work part time I find it difficult to enjoy just the basics in life without getting behind on the bills.,If it is truly needed I think Canada should do the best they can to help.
2273,"husband wants to retire, but how much money are we going to need in the future with the cost of basics rising all the time.","we need them to maintain our population, but think SOME need to adapt to Canadian ways instead of the other way around."
2274,Month to month,Is ok but the amount of help they get is too much compared to elderly and disable .
2275,Check to check,"Positive, if vetted properly"
2276,sick,ok
2277,"not in a panic at the moment, but could be at any time",Welcome!
2278,,
2279,it is good,
2280,"getting by, but paying off debt.
 There should be breaks (tax, etc.) for single income earners","it should have been stopped years ago, from countries with criminals/bad people like Jamaica/Islam/Muslim"
2281,stressed,"getting out of control, let's mange and take care of our people first before we try to take on more mouths to feed"
2282,"Crap, as single people like myself don't get much from welfare. $300 to live off for a month is very  hard",Canada has helped many countries over the years and its about time we started looking after our own people
2283,"I need more money, lol!",We are all immigrants - get over it!!
2284,Quality,Quality
2285,"It's alright. Just retired, so concerned about drop in income",Concerned more about xenophobia than challenges created by allowing in immigrants.
2286,,
2287,"Well, comfortable and only getting better","Good, really helpful to help everyone"
2288,I have worked hard for what I have and with the cost of hydro and heating...it could cost me everything trying to keep up with their bills and pay all other expenses.,"I support immigration if it is done legally. Theses asylum seekers are illegal and taking away from those who have applied legally.  It seems the only people allowed in to Canada are terrorist, Muslim and illegal"
2289,It has been affected by political unrest both federally and by the province,"I feel these people coming across the border should be placed in areas that need work and not everyone to Toronto, Montreal, and Vancouver"
2290,We are surviving,We need to look at all country when looking at immigration and not focus on only a few countries such as India. It takes a lot of immigrant many years if they are allowed to come to Canada where as other country it is very easy because our country thinks it will forge a bond with these countries. Everyone deserve a chance.
2291,Not great. If prices keep escalating the way they are now I will be in trouble paying rent.,"They are welcome, but should become Canadians, act, dress like a Canadian."
2292,Not good we struggle month to month,
2293,It is okay,I think it is a good thing
2294,,
2295,no,nothing wrong with immigration
2296,It's not where I'd like it to be,"I don't think we need to have the high numbers, especially for engineers, doctors, scientists - our own children are having difficulty finding jobs in these fields"
2297,Is better but must continue to improve.,The border problem needs to be solved.
2298,,
2299,"I have been on long-term disability since 1986.  While I am grateful for that income, I have never had enough money to save.  I live from deposit to deposit.  Since moving to Toronto, I have found everything, from rent to personal needs to foods, unreasonably expensive.  I despair at what I will do when I turn 65 and will be reliant only on government pensions.","To a degree, I have mixed feelings.  While I approve of immigration to Canada, I do feel the immigrants need to adapt to Canada's ways of life to some degree.  It is not my job to accept their standards of living and behaviour but theirs to accept those of their new home."
2300,It has not changed greatly over the last year.,
2301,I feel ok,Immigration in Canada is ok.
2302,It could be better.,I think it's time to help the people born in this country as much as they help immigrants.
2303,I'm scraping by but I'm not saving anything and I'm getting more and more worried that I will never be able to retire.,I think immigration is very good for Canada but we do need to screen people carefully to block terrorists or criminals.
2304,"Give me back my ODSP, I hate poverty wage everything went up not welfare.",Welcome and thanks for helping Canada strong.
2305,,
2306,,
2307,"Can NOT keep up with inflation and rising cost of food, insurance, taxes and heat & hydro","Backgrounds are not being checked properly, allowing too many non-working, unskilled immigrants to live off of the Canadian system.  Therefore, the working people end up paying for them."
2308,Being on Odsp has been a struggle,I think we should take care of our own first
2309,Good,Necessary but needs more controls
2310,,
2311,,
2312,,
2313,"Coping, but doing without vision and dental care unless emergency. No travel, no indulgences. Pay rent, buy groceries and pay utilities. Nothing more.",We need more.
2314,,I feel good about immigration. The doors should not be wide open. We should keep track of how many people are allowed to enter Canada
2315,,
2316,holding my own but not much left over to save or take a vacation,should be tightened up - set maximum targets each year
2317,"I am living on a fixed income. As prices go up, including my rent, my income does not, at least not enough to make much of a difference in my life.","Immigration is vital to our country. Unless one is Indigenous, we are all immigrants.  My grandparents came over from Eastern Europe. How can I disapprove of immigration?"
2318,,
2319,"Precarious, disappointed, never recover",The current policies are treasonous and anyone that continues this path the wrong should be imprisoned
2320,I am stable,Important to maintain and monitor
2321,Most of our take home income goes towards our housing situation. A big part goes to utilities.,I'm in favour of helping people who are in need. Canada should welcome immigrants with open arms when they with good intentions.
2322,,
2323,My situation is good because I saved from a early age for my retirement. I also have a company pension which helps,"We should not let these people from the United States come across the border and are allowed to stay, they are not coming from a country that needs help."
2324,Seniors need more assistance especially with health and care,That we need to help immigrants
2325,as long as taxes don't take we should be OK,legal immigration is the best way to go
2326,I am doing fine right now but do expect it will be a little tighter in a few years when I completely retire...hopefully I can put some money away to help...but what will be...will be,it will only help the country prosper and grow immigrants or natural Canadians all add to the betterment of Canada as a whole
2327,Not bad I have a good investor.,Only bring people that are skilled for a job that is open. But first make sure that a Canadian can't fill the position.
2328,ok,most of us are immigrants and have built Canada.
2329,Coping. Better off than most but that doesn't mean our bills can go through the roof and low income people get credits on their bills.,"If it is done properly, fine. I am an landed immigrant from USA.  I have been a permanent resident for 35 years.  As long as it is done through the proper channels it is ok.  Never mind illegally crossing borders."
2330,Comfortable with what I make,
2331,need more money,sometimes a necessity 
2332,Living on a fix income in Ontario is getting impossible with the cost of everyday essentials rising,Don't mind them at all but they should not demand so many special privileges and assimilate more.
2333,"doing ok, but if prices rise, like hydro, taxes, gasoline, I might be having a hard time of it financially.","I know we have to let some in as we aren't having enough children, but they give them too much!!  They should be giving more to our seniors, especially veterans.  Make long-time welfare recipients work for their money!"
2334,Very scared!,We need to look after our own before we start looking after others! Period!
2335,,
2336,I am somewhat comfortable with my financial situation but would be nice to be able to get the things I want now and then,I think a couple thousand a year should be able to immigrate to Canada...but they all have to be screened to be sure they are the best people to be able to enter Canada
2337,It's fine because we planned ahead!,If we have room and job opportunities I have no problem. However care for our own people first.
2338,Overall screwed,Too many non residents time to stop
2339,Could be better but not the worst,"I believe that most immigrants come to Canada striving for a better life and are therefore determined to work hard, which ultimately benefits the country"
2340,"As a student, not excellent.",Good. It helps the economy and adds diversity to the country
2341,living cheque to cheque,out of control
2342,,A good thing and should be kept.
2343,,
2344,"struggling to get ahead, still working as a necessity at the age of 68 and not expecting to retire until I am at least 71","please send your skilled, educated. Canada should make it easier for the skilled and educated to obtain the required licenses to practice their skills here"
2345,Holding my own,We all are either immigrants or descend from them. Even native people came here from somewhere else
2346,it's stable at this time,I think Canada is the best option for immigrants who are willing to contribute
2347,Fine. Living on a student budget.,"The practice itself is good. But we are taking in too many too quickly and spending too much money supporting them. I want the government to be able to help others, but it should be taking care of Canadians first. There are still many homeless Canadians, and many that are not able to afford food to feed their families. This, in addition to impoverished First Nations reserves, are issues that need to be dealt with first."
2348,Sad,Too many
2349,"Meh, could be better - could be worse",I'm for it
2350,Things are tight,Immigration is natural and everyone should welcome it
2351,,
2352,It's getting worse. Besides the raise all things are expensive,It's getting worse. So many people are coming & that is effecting economy badly
2353,,
2354,,
2355,needs improvement,unnecessary
2356,getting better,Great. Give other people opportunities for a better life.
2357,Has gotten worse. Significant other lost job. No benefits. Denied personal benefits because of being diabetic.,Mostly positive. Immigration is great but they must have a job or create work. Not just free money and housing.
2358,Very good,Good
2359,Ok,Ok helps the country
2360,It is okay but could be better,I think if they are willing to go through proper channels an be productive members of society they should be welcome. Those here illegally or who are living off of the government should not.
2361,"Just bought a new home, due to rise in prices in home it's expensive","I think so far they've done a good job, but I  do worry sometimes we are to open without doing proper screen checks"
2362,,
2363,Cost of living is expensive. Both my wife and I have jobs. We live in a decent condo but barely scrape by while managing debt etc. Could be a lot better. But not many would say different.,"My parents immigrated here a while ago (1970s). I was born here. I would prefer if we focused more on our citizens right now with things as bad as they are before letting even more people in. 



Living in Toronto is crowded enough as is."
2364,"Dire, to the point of losing everything unless there is a major turn of events.",There needs to be more regulation and less immigration until Canada can help out their own.
2365,"Wife great, I'm struggling",Positive - most of country comes from elsewhere
2366,Good,
2367,"was worse last year, but is getting better",Too many are coming into the country too fast
2368,,
2369,Confident I can pay for what I need.,It is complicated.
2370,I feel very good about my financial situation not because of any level of government but because of the serious investing I have done since I was 17. I have far more than I will need to live as comfortably as I want and do whatever I want.,"I feel we have far too many issues with homelessness and people who were born here that we need to fix before we start bringing immigrants in. In my building there are many immigrants and they have family members coming over to ""visit"", but they never leave as they are supposed to.*Adults living in a 1 bedroom apartment is nasty by way of dirty and overcrowded."
2371,Struggling to make ends meet,We are a nation of immigrants; we should welcome them
2372,"I am just getting by on one income, my husband stays home with my son",As long as they can afford it but not be a strain on the government
2373,I am sick of living pay cheque to pay cheque,There is always room for improvement. People wanting to immigrate to Canada who have family here should be given higher consideration
2374,Doomed,Immigrants are receiving too much government funding. They're taking jobs from Canadians. They should not receive free healthcare.
2375,very bad. I am unable to find a job according to my skills and qualification,it's good but achieving your goals is very difficult here
2376,,
2377,"getting worse all the time, we're being taxed out of existence",why come to Canada if you want to recreate what you claim to be trying to escape? Come to Canada to escape tyranny not to establish it!
2378,I wish there was more tax breaks for single mothers who work and have children,Enough already
2379,"I feel it sucks and there's no way for me to improve it. I'm on disability and cannot work for the foreseeable future. Cannot own or rent my own place, can't buy necessities most of the time.",I think it's part of our cultural diversity and a big plus about living here
2380,,
2381,I'm just able to make bills and have a little left over for savings.,no feelings one way or the other.
2382,,
2383,Good situation and getting better,Canada needs the immigration
2384,Currently adequate for now.,Should be limited so that Canadians don't lose their jobs.
2385,"I feel like I am under paid for the position I am in, I can make my bills and rent but savings and such take a back seat",They enhance and often times create jobs by opening local mom and pop stores and franchises
2386,we make ends meet but there is not much left over,
2387,Could be better,It is our human duty
2388,Doing ok,Need to reduce immigration.  All immigrants must speak English.
2389,Worse,
2390,,
2391,Glad I turned 18 and am able to receive minimum wage instead of student wage for the same job and responsibilities.,I think that's what makes our country so great because everyone here is an immigrant other than native Canadians. It is good to focus on humanity as a whole instead of our bordered in country and help people who are not as fortunate and/or are in danger.
2392,Has dropped and caused major debt,"As a child of immigrants, I am thankful that majority of immigrants are kind and helpful and that we are not just letting in ""criminals"""
2393,Could be managing better.,Newcomers create a more diverse country.
2394,No,Canada should continue to offer help
2395,,
2396,,
2397,gotten better,right decision
2398,,
2399,I feel okay about it.,"I don't think we should be taking them all in, there should be a better process so we don't let criminals, or rapists, or murderers in our country"
2400,Alright,It's a bit much at times
2401,we are comfortable,it can be a positive thing
2402,,
2403,Part time,Fine
2404,,
2405,,
2406,stressed,Too much too fast
2407,"After I pay my rent & utility bills I really don't have enough to survive properly on. I depend on the food bank, the Salvation Army & family to help me out with goods for myself. There are NO EXTRAS for me.","Believe immigrants can & do make a positive impact/influence in Canada. There are many countries that are extremely poor, are unsafe, at war, etc..  we have/need to take these immigrants in, particularly as everyone should have a safe home & individual freedoms.."
2408,,
2409,,
2410,We're comfortable,"Smart immigration allowing qualified, educated professionals, young families is good for the country. Taking in unskilled refugees in big numbers is a mistake as it drains resources (health, housing, child benefits) without adding value to the economy and social enrichment of the country"
2411,too much student debt,
2412,I'm a struggling student,Love it. The more diverse the better
2413,,
2414,not sure,not sure
2415,Could be better,We need to help
2416,,
